Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
Ghostlight Cabaret: Jacob Poiner & Friends,3/6/2026,"Friday, March 6, 2026 at 7:30pm",,1,FALSE,Innovation,Ghostlight,Ethan,FALSE,TRUE,TRUE,03/06/2026,7:30 PM,Success
Celtic Angels Ireland,3/7/2026,"Saturday, March 7, 2026 at 7:30pm",,1,FALSE,Spotlight,Main Stage,"Seth, Nik, Ethan, Jason, Noah, Ryan",FALSE,TRUE,TRUE,03/07/2026,7:30 PM,Success
"Mansfield Symphony: Side×Side
—A Night at the Oscars",3/14/2026,"Saturday, March 14, 2026 at 7:30pm",,1,TRUE,Symphony,Main Stage,Seth,FALSE,TRUE,TRUE,03/14/2026,7:30 PM,Success
Special Concert TBD,3/21/2026,"Saturday, March 21, 2026 at 7:30pm",,1,FALSE,Concert,Main Stage,,FALSE,TRUE,TRUE,03/21/2026,7:30 PM,Success
"Mansfield Youth Theatre: Shrek, Jr.",3/27/2026,"Friday, March 27, 2026 at 7:00pm",MY Shrek Jr,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,03/27/2026,7:00 PM,Success
"Mansfield Youth Theatre: Shrek, Jr.",3/27/2026,"Saturday, March 28, 2026 at 1:00pm",MY Shrek Jr,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,03/28/2026,1:00 PM,Success
"Mansfield Youth Theatre: Shrek, Jr.",3/27/2026,"Saturday, March 28, 2026 at 7:00pm",MY Shrek Jr,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,03/28/2026,7:00 PM,Success
"Mansfield Youth Theatre: Shrek, Jr.",3/27/2026,"Sunday, March 29, 2026 at 2:30pm",MY Shrek Jr,4,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,03/29/2026,2:30 PM,Success
"Improv Underground: ""Open Mic"" Night (Performance)",4/8/2026,"Wednesday, April 8, 2026 at 7:00pm",,1,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,04/08/2026,7:00 PM,Success
Ghostlight Cabaret: Randy & Sandy with Special Guest Maddie Penwell,4/10/2026,"Friday, April 10, 2026 at 7:30pm",,1,FALSE,Innovation,Ghostlight,,FALSE,TRUE,TRUE,04/10/2026,7:30 PM,Success
"""Engaging the Whole Child the Whole Way Through"" with Randy Barron",4/22/2026,"Wednesday, April 22, 2026 at 4:30pm",,1,FALSE,Education,Ballroom,,FALSE,TRUE,TRUE,04/22/2026,4:30 PM,Success
Mamma Mia!,4/25/2026,"Saturday, April 25, 2026 at 7:30pm",05 Mamma Mia,5,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,04/25/2026,7:30 PM,Success
Mamma Mia!,4/25/2026,"Sunday, April 26, 2026 at 2:30pm",05 Mamma Mia,5,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,04/26/2026,2:30 PM,Success
"Teddy Bear Concert:
Goldilocks and The Three Bears",4/26/2026,"Sunday, April 26, 2026 at 2:30pm",,1,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,04/26/2026,2:30 PM,Success
Mamma Mia!,4/25/2026,"Friday, May 1, 2026 at 7:30pm",05 Mamma Mia,5,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,05/01/2026,7:30 PM,Success
Mamma Mia!,4/25/2026,"Saturday, May 2, 2026 at 7:30pm",05 Mamma Mia,5,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,05/02/2026,7:30 PM,Success
Mamma Mia!,4/25/2026,"Sunday, May 3, 2026 at 2:30pm",05 Mamma Mia,5,FALSE,Broadway,Main Stage,,FALSE,TRUE,TRUE,05/03/2026,2:30 PM,Success
MindSprouts Showcase,5/7/2026,"Thursday, May 7, 2026 at 7:00pm",,1,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,05/07/2026,7:00 PM,Success
